,name,url,info,industry,turn,city
132,ChildCare云听,company/119799,基于人工智能和心肺听诊的母婴健康管理系统,industry.MEDICAL_HEALTH,phase.A,city.上海市
133,橙显电子,company/19218790,3D视觉系统应用服务商,industry.AI,phase.NONE,city.上海市
134,上海启科自动化,company/77051388,工业检测技术解决方案及设备供应商,industry.MANUFACTURING,phase.NONE,city.上海市
135,媒智科技,company/55731212,AI商业服务商,industry.AI,phase.NONE,city.上海市
136,捷崇科技,company/106416,车辆信息识别系统研发商,industry.AI,phase.NONE,city.上海市
137,发源地,company/20411,大数据应用平台和大数据解决方案提供商,industry.SERVICE_INDUSTRIES,phase.PRE_A,city.上海市
138,钰池科技,company/5311012,基于人工智能的高频量化交易公司,industry.FINANCE,phase.NONE,city.上海市
139,Truthvision,company/27033167,智能视频分析及图像识别技术研发商,industry.AI,phase.NONE,city.上海市
140,爱图瓴,company/6006202,图像识别技术研发商,industry.AI,phase.ANGEL,city.上海市
141,MyShape健身,company/127474,AI智能健身私教平台,industry.AI,phase.A_PLUS,city.上海市
142,微瞰智能,company/76732556,生物医学图像智能分析解决方案提供商,industry.AI,phase.ANGEL,city.上海市
143,博旸自动化科技,company/1673,计算机视觉技术研发商,industry.AI,phase.NONE,city.上海市
144,Gorilla Technology Group,company/26276356,智能视频和物联网平台提供商,industry.AI,phase.D,city.上海市
145,傲意科技,company/164581,提供基于肌电信号提供手势交互方案的公司,industry.INTELLIGENT_HARDWARE,phase.PRE_A,city.上海市
146,易智全景,company/76095122,人工智能医疗领域解决方案提供商,industry.AI,phase.NONE,city.上海市
147,123看房,company/76805735,人工智能3D看房系统研发商,industry.VR_AR,phase.INFORMAL,city.上海市
148,顶逸,company/70135614,工业互联网基础平台及生态链建设提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
149,域驾智能,company/62667388,智能驾驶系统研发商,industry.AUTO,phase.NONE,city.上海市
150,箭鱼互动,company/92501422,电话销售机器人研发商,industry.AI,phase.NONE,city.上海市
151,留学不用等,company/62555408,AI留学规划工具,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
152,智矩机器人,company/123110,智能语音机器人研发商,industry.AI,phase.ANGEL,city.上海市
153,合时智能,company/59160475,特种机器人制造商,industry.ROBOT,phase.ANGEL,city.上海市
154,云智视像,company/36101439,AI安防解决方案提供商,industry.AI,phase.NONE,city.上海市
155,鲸鱼机器人,company/45772096,机器人编程教育服务商,industry.EDUCATION_TRAINING,phase.PRE_A,city.上海市
156,上海汇像,company/76759702,机器视觉技术服务提供商,industry.AI,phase.INFORMAL,city.上海市
157,伯肯森自动化,company/55518410,机器视觉检测系统研发商,industry.AI,phase.NONE,city.上海市
158,挖数科技,company/45324015,AI语料及互联网信息采集服务提供商,industry.MEDIA,phase.A,city.上海市
159,盟识科技,company/17055902,自动驾驶系统研发商,industry.AI,phase.ANGEL,city.上海市
160,炬佑智能,company/96768169,TOF sensor原厂,industry.AI,phase.A,city.上海市
161,心活人工智能,company/66218808,人工智能产品开发商,industry.AI,phase.NONE,city.上海市
162,OF COURSE,company/64509559,编程教育服务平台,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
163,爱科微,company/58839260,AI与物联网芯片研发商,industry.INTELLIGENT_HARDWARE,phase.A,city.上海市
164,Driva,company/39525590,人工智能驾驶助手研发商,industry.AI,phase.NONE,city.上海市
165,Magic神奇小秘书,company/63333,基于人工智能和大数据的私人助理APP,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
166,高风金融,company/34071,第三方大数据风控服务提供商,industry.FINANCE,phase.ANGEL,city.上海市
167,亮风台,company/4916,AR软硬件解决方案提供商,industry.VR_AR,phase.B_PLUS,city.上海市
168,创帛智能,company/129267,以机器视觉为核心的自动化设备集成提供商,industry.AI,phase.NONE,city.上海市
169,评驾科技,company/83395250,用户行为大数据服务运营商,industry.AUTO,phase.PRE_B,city.上海市
170,湃道智能,company/62283017,图像和视频数据分析服务提供商,industry.AI,phase.NONE,city.上海市
171,小白健康,company/93667181,智能健康管理平台,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
172,复瞰科技,company/48646934,亿级像素云相机研发商,industry.INTELLIGENT_HARDWARE,phase.NONE,city.上海市
173,桓沁教育,company/99202974,人工智能辅助教学服务商,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
174,璇煌AI,company/81308000,智慧金融解决方案提供商,industry.FINANCE,phase.NONE,city.上海市
175,ARKie,company/40088567,智能海报设计研发商,industry.AI,phase.A_PLUS,city.上海市
176,东软睿驰,company/1886911,无人驾驶技术研发商,industry.AI,phase.NONE,city.上海市
177,偶橙,company/111931,人工智能营销解决方案提供商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
178,酷曼,company/96186689,人工智能技术服务提供商,industry.AI,phase.ANGEL,city.上海市
179,思依暄,company/57901240,家庭陪伴机器人研发商,industry.ROBOT,phase.NONE,city.上海市
180,慧语智能,company/11538957,智能家居控制系统研发商,industry.INTELLIGENT_HARDWARE,phase.NONE,city.上海市
181,十露盘,company/99906733,智能金融服务平台,industry.FINANCE,phase.NONE,city.上海市
182,奇弦智能,company/56919665,组织智能计算平台研发商,industry.AI,phase.ANGEL,city.上海市
183,慧辙科技,company/62652,无人驾驶汽车控制系统研发商,industry.AI,phase.NONE,city.上海市
184,纽劢科技,company/83581054,自动驾驶解决方案提供商,industry.AI,phase.PRE_A,city.上海市
185,思萌特物联网科技,company/13394510,有源射频识别产品研发商,industry.MANUFACTURING,phase.ANGEL,city.上海市
186,上海天横,company/7882979,利用大数据和人工智能技术提供情报分析和案件调查的公司,industry.AI,phase.NONE,city.上海市
187,悠智数据,company/85058185,大数据智能分析系统提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
